data,Freq
其他,201
变更抚养关系纠纷,6
不当得利纠纷,7
财产损害赔偿纠纷,2
城乡建设行政管理:房屋登记管理(房屋登记),2
盗窃,1
赌博,1
法定继承纠纷,4
返还原物纠纷,5
妨害公务,6
房屋拆迁安置补偿合同纠纷,1
房屋买卖合同纠纷,3
房屋租赁合同纠纷,2
放火,2
非法拘禁,1
非法制造、买卖、运输、邮寄、储存枪支、弹药、爆炸物,1
诽谤,2
分家析产纠纷,13
夫妻财产约定纠纷,1
扶养费纠纷,4
扶养纠纷,1
抚养费纠纷,13
抚养纠纷,1
附义务赠与合同纠纷,2
公安行政管理:道路交通管理(道路),2
公安行政管理:其他(公安),1
共有纠纷,2
共有权确认纠纷,2
共有物分割纠纷,5
故意杀人,32
故意伤害,33
行政复议,1
合同纠纷,3
婚姻家庭纠纷,73
婚姻无效纠纷,7
婚约财产纠纷,177
机动车交通事故责任纠纷,1
继承纠纷,9
建设工程施工合同纠纷,1
教育培训合同纠纷,1
借款合同纠纷,1
金融借款合同纠纷,9
聚众斗殴,1
劳务合同纠纷,1
离婚后财产纠纷,80
离婚后损害责任纠纷,24
离婚纠纷,2669
林业承包合同纠纷,1
买卖合同纠纷,2
民间借贷纠纷,38
民事案由,1
民事执行,50
民政行政管理(民政),1
名誉权纠纷,3
农村土地承包合同纠纷,1
虐待,3
排除妨害纠纷,6
强奸,2
抢劫,1
侵权责任纠纷,2
请求确认人民调解协议效力,1
确认合同无效纠纷,3
确认合同效力纠纷,2
人身自由权纠纷,8
赡养费纠纷,7
赡养纠纷,8
申请撤销监护人资格,3
申请撤销宣告公民死亡,1
申请确定监护人,3
申请诉前财产保全,1
申请宣告公民无民事行为能力,2
生命权、健康权、身体权纠纷,36
适用特殊程序案件案由,5
收养关系纠纷,1
所有权确认纠纷,4
探望权纠纷,3
同居关系纠纷,23
同居关系析产纠纷,24
同居关系子女抚养纠纷,49
物权保护纠纷,2
物权确认纠纷,1
信用卡纠纷,1
寻衅滋事,2
一般人格权纠纷,2
遗弃,1
遗嘱继承纠纷,1
赠与合同纠纷,7
债权人撤销权纠纷,1
占有物返还纠纷,2
重婚,7
追偿权纠纷,2
资源行政管理:能源行政管理(能源管理),2
资源行政管理:土地行政管理(土地),1
